4.008350456450E-10	9.482850615895E-03
4.586520501924E-10	1.085067017942E-02
5.248086598993E-10	1.241578593942E-02
6.005077910145E-10	1.420665617373E-02
6.871258700997E-10	1.625584402175E-02
9.266662643661E-10	2.192282798424E-02
1.249713339115E-09	2.956539114077E-02
1.685378533802E-09	3.987224430790E-02
2.272921888000E-09	5.377219122768E-02
3.065289966224E-09	7.251782786634E-02
4.133887146161E-09	9.779842030576E-02
5.575010235735E-09	1.318921332279E-01
7.518526275545E-09	1.778713270854E-01
8.906660312414E-09	2.107114388486E-01
1.055108341893E-08	2.496147703405E-01
1.249911385507E-08	2.957007645651E-01
1.480680617895E-08	3.502955455728E-01
1.754056421623E-08	4.149700776627E-01
2.077905182964E-08	4.915853698800E-01
2.461545647085E-08	5.823460265105E-01
2.916017064860E-08	6.898636845123E-01
3.259804931602E-08	7.711961176475E-01
3.644124144591E-08	8.621173503271E-01
4.073753202976E-08	9.637578672657E-01
4.554033973676E-08	1.077381433196E+00
5.090938110399E-08	1.204400806089E+00
5.691141303234E-08	1.346395302945E+00
6.362106281986E-08	1.505130436435E+00
7.112175605320E-08	1.682579866634E+00
7.829927925896E-08	1.852383823539E+00
8.620114958757E-08	2.039324192185E+00
9.490046729093E-08	2.245130358243E+00
1.044777098116E-07	2.471706234648E+00
1.133683107751E-07	2.682037722479E+00
1.230154634053E-07	2.910267505235E+00
1.334835469750E-07	3.157918649143E+00
1.448424191545E-07	3.426643826372E+00
1.555044667763E-07	3.678883706031E+00
1.669513622359E-07	3.949691297915E+00
1.792408792509E-07	4.240433394570E+00
1.924350443408E-07	4.552577399440E+00
2.049446301735E-07	4.848525798958E+00
2.182674241111E-07	5.163712840465E+00
2.324562902074E-07	5.499389163262E+00
2.475675290396E-07	5.856886705952E+00
2.619995643631E-07	6.198315815150E+00
2.772729202118E-07	6.559648627061E+00
2.934366416589E-07	6.942045430168E+00
3.105426328769E-07	7.346734151381E+00
3.269693452901E-07	7.735352648391E+00
3.442649782706E-07	8.144527779512E+00
3.624754949381E-07	8.575346917999E+00
3.816492897148E-07	9.028954954403E+00
4.001403750832E-07	9.466411592632E+00
4.195273621271E-07	9.925063143642E+00
4.398536576988E-07	1.040593650101E+01
4.611647717329E-07	1.091010831015E+01
4.817876315985E-07	1.139799752536E+01
5.033327265851E-07	1.190770459654E+01
5.258412981899E-07	1.244020518453E+01
5.493564321915E-07	1.299651857874E+01
5.721763889167E-07	1.353638556739E+01
5.959442737891E-07	1.409867818747E+01
6.206994632100E-07	1.468432796906E+01
