4.008350456450E-10	6.634066966565E+01
4.586520501924E-10	6.634066966565E+01
5.248086598993E-10	6.634066966563E+01
6.005077910145E-10	6.634066966559E+01
6.871258700997E-10	6.634066966557E+01
9.266662643661E-10	6.634066966546E+01
1.249713339115E-09	6.634066966529E+01
1.685378533802E-09	6.634066966496E+01
2.272921888000E-09	6.634066966435E+01
3.065289966224E-09	6.634066966322E+01
4.133887146161E-09	6.634066966125E+01
5.575010235735E-09	6.634066965764E+01
7.518526275545E-09	6.634066965099E+01
8.906660312414E-09	6.634066964506E+01
1.055108341893E-08	6.634066963675E+01
1.249911385507E-08	6.634066962510E+01
1.480680617895E-08	6.634066960870E+01
1.754056421623E-08	6.634066958568E+01
2.077905182964E-08	6.634066955345E+01
2.461545647085E-08	6.634066950821E+01
2.916017064860E-08	6.634066944465E+01
3.259804931602E-08	6.634066938943E+01
3.644124144591E-08	6.634066932047E+01
4.073753202976E-08	6.634066923430E+01
4.554033973676E-08	6.634066912654E+01
5.090938110399E-08	6.634066899189E+01
5.691141303234E-08	6.634066882369E+01
6.362106281986E-08	6.634066861348E+01
7.112175605320E-08	6.634066835072E+01
7.829927925896E-08	6.634066807188E+01
8.620114958757E-08	6.634066773398E+01
9.490046729093E-08	6.634066732447E+01
1.044777098116E-07	6.634066682803E+01
1.133683107751E-07	6.634066632449E+01
1.230154634053E-07	6.634066573168E+01
1.334835469750E-07	6.634066503372E+01
1.448424191545E-07	6.634066421181E+01
1.555044667763E-07	6.634066337928E+01
1.669513622359E-07	6.634066241976E+01
1.792408792509E-07	6.634066131377E+01
1.924350443408E-07	6.634066003887E+01
2.049446301735E-07	6.634065874654E+01
2.182674241111E-07	6.634065728079E+01
2.324562902074E-07	6.634065561828E+01
2.475675290396E-07	6.634065373254E+01
2.619995643631E-07	6.634065182072E+01
2.772729202118E-07	6.634064967953E+01
2.934366416589E-07	6.634064728145E+01
3.105426328769E-07	6.634064459554E+01
3.269693452901E-07	6.634064187310E+01
3.442649782706E-07	6.634063885510E+01
3.624754949381E-07	6.634063550935E+01
3.816492897148E-07	6.634063180023E+01
4.001403750832E-07	6.634062804212E+01
4.195273621271E-07	6.634062391107E+01
4.398536576988E-07	6.634061937004E+01
4.611647717329E-07	6.634061437824E+01
4.817876315985E-07	6.634060932286E+01
5.033327265851E-07	6.634060380526E+01
5.258412981899E-07	6.634059778317E+01
5.493564321915E-07	6.634059121035E+01
5.721763889167E-07	6.634058455697E+01
5.959442737891E-07	6.634057733939E+01
6.206994632100E-07	6.634056950976E+01
6.464829692542E-07	6.634056101608E+01
6.729474756518E-07	6.634055193862E+01
7.004953363405E-07	6.634054210280E+01
7.291708996449E-07	6.634053144522E+01
7.590203293381E-07	6.634051989715E+01
7.900811589797E-07	6.634050738860E+01
8.224130680651E-07	6.634049383542E+01
8.560680720417E-07	6.634047915029E+01
8.911003149468E-07	6.634046323860E+01
9.275675750453E-07	6.634044599728E+01
9.655272160090E-07	6.634042731606E+01
1.005040311816E-06	6.634040707455E+01
1.046170435828E-06	6.634038514230E+01
1.088986608004E-06	6.634036137658E+01
1.133555099437E-06	6.634033562596E+01
1.179947626550E-06	6.634030772446E+01
1.228238840876E-06	6.634027749225E+01
1.278511069414E-06	6.634024473169E+01
1.330840957161E-06	6.634020923474E+01
1.385312724800E-06	6.634017077256E+01
1.442014040196E-06	6.634012909718E+01
1.501043643797E-06	6.634008393457E+01
1.562489655286E-06	6.634003499915E+01
1.626450991591E-06	6.633998197543E+01
1.693030618857E-06	6.633992452146E+01
1.762347844135E-06	6.633986225633E+01
1.834503102975E-06	6.633979478877E+01
1.909612592103E-06	6.633972168365E+01
1.987797265649E-06	6.633964246942E+01
2.069202682810E-06	6.633955661484E+01
2.153941861444E-06	6.633946358516E+01
2.242151327671E-06	6.633936278013E+01
2.333973198704E-06	6.633925354921E+01
2.429587280058E-06	6.633913514843E+01
2.529118309797E-06	6.633900684935E+01
2.632726750528E-06	6.633886782356E+01
2.740579638405E-06	6.633871717339E+01
2.852902579359E-06	6.633855385091E+01
2.969829087707E-06	6.633837686845E+01
3.091547841136E-06	6.633818508228E+01
3.218255250309E-06	6.633797725300E+01
3.350239829463E-06	6.633775189326E+01
3.487637257437E-06	6.633750767296E+01
3.630669521773E-06	6.633724301203E+01
3.779567713995E-06	6.633695619806E+01
3.934709222365E-06	6.633664509842E+01
4.096218889594E-06	6.633630793985E+01
4.264358112182E-06	6.633594253739E+01
4.439399016279E-06	6.633554652287E+01
