ener_f  theta_0  d_theta  beta_0  chi2
218.3  39.26891836336576  29.247874759175033  0.00048394915647896267  30.49284711040644
218.4  39.268939794380515  29.24788702485133  0.00048395180429003707  30.51484966204596
218.5  39.268939794380515  29.24788702485133  0.00048395180429003707  30.553704882987564
218.6  39.2689607871888  29.247880966430174  0.0004839758702980774  30.60695999588943
218.7  39.27071181080632  29.246512183744002  0.00048716591357873666  30.49724112588145
218.8  39.270710684535004  29.246509186114572  0.00048716800439341105  30.505530215097625
218.9  39.27071592032371  29.246508142478966  0.00048717238969458104  30.530362924423418
219.0  39.27063482913543  29.24643912561327  0.00048718626423597383  30.57189925088331
219.1  39.262310024240115  29.23854116316798  0.0004896060050775366  30.533429841569543
219.2  39.262267362994415  29.238497675723124  0.0004896214040677824  30.552822518317488
219.3  39.262411836162585  29.23858704051697  0.0004896369654219382  30.58798356299022
219.4  39.266458950582525  29.23961715248629  0.0004918893265192248  30.53357792535398
219.5  39.26645930100863  29.239614342759545  0.0004918929737585038  30.545064885338313
219.6  39.26647149777007  29.23961936804836  0.0004918967555015989  30.573864047366474
219.7  39.29279014737854  29.256824794035655  0.0004937162217833198  30.48762689242164
219.8  39.29279534025508  29.256828606717782  0.0004937155218101396  30.491137269379664
219.9  39.2927933139565  29.25682259009621  0.0004937210083870452  30.512287990749474
220.0  39.29284891537195  29.256871470907058  0.0004937089922176323  30.55131137675426
220.1  39.28391816466967  29.248717452332553  0.0004959160238360292  30.51688450927341
220.2  39.283951714926914  29.248735622794406  0.0004959221394954236  30.539154029299265
220.3  39.28232554835495  29.246245510560044  0.0004975507370536547  30.527194768296606
220.4  39.28230915112751  29.246218231984983  0.0004975697584705247  30.543679570085107
220.5  39.28228106160185  29.24619432475564  0.0004975739535627936  30.57732773266213
220.6  39.28228842463228  29.246186306886678  0.0004975887321750341  30.626673504769755
220.7  39.28330916246401  29.2445271090556  0.000500498063626273  30.54197800450596
220.8  39.28331441862068  29.244528428033497  0.0005005002239274629  30.554655287255052
220.9  39.28333077393565  29.244536879999615  0.0005005040225237195  30.5837139568065
221.0  39.28246159491107  29.243821192324134  0.000500623093322719  30.625411334013446
221.1  39.27089007965061  29.234096177333978  0.0005024643552652878  30.633148982014333
221.2  39.26883054008951  29.2314999843604  0.0005038487811213262  30.636510613925633
