ener_f  theta_0  d_theta  beta_0  chi2
56.0  36.224542166107774  27.46389908753495  1.2472408164492195e-5  30.469325630477833
60.0  36.36497135636782  27.556214093664146  1.4942585749388978e-5  30.470418546405153
70.0  36.67628534111385  27.76381167954487  2.2387173580936894e-5  30.47224958224257
80.0  36.94514823527192  27.944533249551466  3.17985241408128e-5  30.4733349419954
90.0  37.18336737947041  28.1041879065942  4.336725554649342e-5  30.474022740288454
100.0  37.203482682171746  28.104316463069225  5.770775695605772e-5  32.09779561832817
110.0  37.598113162518885  28.37706453705253  7.38067032828808e-5  30.479103777807385
120.0  37.78006725199211  28.492911636810874  9.29575472352687e-5  30.47503054193037
130.0  37.953195191824065  28.600224705144313  0.00011512595043565363  30.47519936676634
140.0  38.130954189082146  28.708423201563402  0.00014051497877774408  30.48515462401406
150.0  38.137972225533  28.690696085488568  0.00016876978480043737  31.60362060133234
160.0  38.41258742015278  28.861437570475488  0.00020341022881098476  30.8022798140514
162.0  38.40846321927961  28.85422839317246  0.00020865799600346986  30.602056738310445
164.0  38.5392790614733  28.943187306922457  0.0002154516002878189  30.68616025348308
166.0  38.567592000167224  28.957827129726486  0.00022263072899194908  30.570368247326833
184.0  38.745212704039716  29.02584451543198  0.00029677300306591104  30.543280909602966
184.1  38.74596468160212  29.026022284080135  0.00029722189903914567  30.545619355433875
184.2  38.746623645024094  29.026139263244083  0.0002976630055443087  30.54895612478608
184.3  38.74772439742562  29.026356273185698  0.0002983751604071693  30.550458552342256
184.4  38.74808777802722  29.026422784244353  0.00029861620634406014  30.5549435550986
184.5  38.748907987277065  29.026567748291697  0.00029916546082191746  30.55518262446946
184.6  38.7495013309947  29.026677704271858  0.00029955764132495846  30.559217070535237
184.7  38.7502625934809  29.026812537334585  0.00030006772018675886  30.56128944761675
184.8  38.75097681106269  29.026945651215712  0.0003005382649608827  30.56426773930957
184.9  38.75166138702329  29.026995763424193  0.0003010845444077212  30.567624475842678
185.0  38.75226282117008  29.02710623417059  0.00030148318634536786  30.57052572166831
185.1  38.75281494013318  29.02712853299726  0.00030194604002292365  30.574072563540202
185.2  38.75339620820842  29.027136535867918  0.0003024537939108336  30.578005411486966
185.3  38.75402568564851  29.027208454831595  0.0003029248201505821  30.581816383275203
185.4  38.75468977733157  29.02734059141639  0.00030335092294504404  30.58465060641289
185.5  38.75543859881896  29.02748306949029  0.0003038413283802111  30.588128343962214
